Genus	SP19.2	SP19.3	SP19.4	SP19.1	SP21.1	SP21.2	SP21.3	SP21.4	SP21.5	SP21.6	SP21.7	SP21.8	SP21.9	USA4.7	USA4.8	USA4.9	USA4.10	USA4.3	USA4.5	USA4.1	USA4.6	USA4.2	USA4.11	USA4.12	USA4.16	USA4.17	USA4.13	USA4.4	USA4.14	USA4.15	SP17.1	SP17.2	SP16.4	SP16.5	SP16.6	SP16.7	SP16.8	SP16.9	SP16.10	SP16.11	SP16.1	SP16.2	SP16.12	SP16.13	SP16.14	SP16.15	SP16.17	SP16.3	SP16.16	SP10.2	SP10.3	SP10.4	SP10.1	SP14.5	SP14.11	SP14.16	SP14.7	SP14.13	SP14.2	SP14.8	SP14.3	SP14.9	SP14.14	SP14.10	SP14.4	SP14.15	SP14.1	SP14.12	SP14.6	SP15.4	SP15.12	SP15.5	SP15.1	SP15.2	SP15.3	SP15.6	SP15.7	SP15.8	SP15.9	SP15.10	SP15.11	SP15.13	SP1.1	SP1.2	SP1.3	SP1.4	SP1.5	SP1.6	SP1.7	SP1.8	SP4.1	SP11.12	SP11.13	SP11.1	SP11.2	SP11.3	SP11.4	SP11.5	SP11.14	SP11.6	SP11.7	SP11.8	SP11.9	SP11.10	SP11.11	USA3.1	USA3.2	USA3.3	USA3.4	USA3.5	USA3.6	USA3.7	USA3.8	SP2.3	SP2.1	SP2.2	USA5.1	USA5.2	USA5.3	SP18.1	SP18.2	FR1.24	FR1.25	FR1.13	FR1.1	FR1.14	FR1.15	FR1.16	FR1.17	FR1.18	FR1.4	FR1.19	FR1.7	FR1.8	FR1.9	FR1.2	FR1.10	FR1.11	FR1.12	FR1.3	FR1.5	FR1.6	FR1.26	FR1.27	FR1.28	FR1.20	FR1.21	FR1.29	FR1.22	FR1.23	FR1.30	FR1.31	IT1.4	IT1.3	IT1.5	IT1.2	IT1.1	SP13.1	SP6.1	SP6.2	SP6.3	SP6.4	USA1.1	USA6.16	USA6.15	USA6.1	USA6.11	USA6.4	USA6.12	USA6.2	USA6.6	USA6.8	USA6.17	USA6.10	USA6.3	USA6.9	USA6.7	USA6.13	USA6.14	USA6.5	SP8.1	SP8.2	SP8.3	SP8.4	SP8.5	SP8.6	SP8.7	SP8.8	SP8.9	SP8.10	SP8.11	DN1.1	DN1.2	DN1.3	DN1.4	DN1.5	SP12.2	SP12.3	SP12.4	SP12.5	SP12.6	SP12.7	SP12.8	SP12.9	SP12.10	SP12.11	SP12.12	SP12.13	SP12.14	SP12.15	SP12.16	SP12.17	SP12.18	SP12.19	SP12.20	SP12.21	SP12.22	SP12.23	SP12.24	SP12.25	SP12.26	SP12.27	SP12.28	SP12.29	SP12.30	SP12.31	SP12.32	SP12.33	SP12.1	USA2.1	GE1.1	GE1.2	SP9.2	SP9.3	SP9.1	SP3.6	SP3.3	SP3.4	SP3.5	SP3.1	SP3.2	SP5.1	SP5.2	SP5.3	SP5.4	SP5.5	SP5.6	SP5.7	SP20.5	SP20.6	SP20.7	SP20.1	SP20.2	SP20.3	SP20.4	SP7.13	SP7.14	SP7.15	SP7.3	SP7.4	SP7.5	SP7.6	SP7.7	SP7.9	SP7.10	SP7.11	SP7.12	SP7.1	SP7.2	SP7.8	SP7.16	SP7.17
Absidia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.43E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.20E-05	0	1.27E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000138836	0	0	0	0	0	0	0.00012202	0	0	0	0	0	0	0	0	0	0	0.000109267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.80E-05	4.87E-05	0	0	6.95E-05	8.45E-05	2.38E-05	2.56E-05	1.05E-05	0	0	0	5.54E-05	0	0	0	4.42E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10E-05	0	0.000191426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthophysium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.92E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acarospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.39E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaulium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000316781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001235094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acericola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000160627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.90E-05	0	0	0	0	0	0	0.000134329	0	0	0	0	0.002861778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000107683	0	0	0	0	0	0	0	0	0	0	0	0.000615219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003112162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02083899	0.007992041	0.003817986	0	0	2.32E-05	0	0	0	0.000178962	0	0	0	0	0	0	0	0	0	0	0.000499508	0	0	0	0	0	0	0	0	0	0.000960971	0.001086937	0.001561089	0	0.000578249	0.001372019	0	0.000300203	0.001630838	0	0.000870385	0.001300708	0.000229565	0.000216534	0.00033567	0.000430972	0.000185988	0.000453025	0.000306741	0.000167642	0.000255704	0.000433553	0.000410637	0.000399796	0.000774536	0.000306105	0.000782044	0.000154624	0	0.000112465	0.001783947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.51E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achroiostachys	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acicuseptoria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000111044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000285947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000283607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acremoniopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.70E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acremonium	0	6.80E-05	0	0	0	0	0	0.000152353	0	2.78E-05	0	0	0.000342674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.37E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000277187	7.39E-05	0.000148407	0	0.000558144	0.001311743	0	0	0.002931948	0.000106172	6.25E-05	0.000756987	0	0.000637725	0.000698175	0	0.00018213	0	0	0	0	0	0	0	0.000212431	0	0	0.004467599	0.000227987	0	0	0	0	0	0	0	0	0	0	0	0.000290281	0	0	0.000345322	0	0	0	0	0	0	0	0	0	0.001090747	0	0	0	0	0.000461164	0	0	0	0	0	0	2.43E-05	0	0	0	0	0	0.000435534	0	0	0	0	0.005058354	0	0	4.05E-05	0	0	0.001514951	0	0	0	0.003172855	0	0	0	0	0	0	0.001696686	0.000757458	0.000175946	0	0	0	0	0	0	0	0.000102138	0	0	0.000155533	0	0	0	0.001516709	0	0	0.000514666	0.000373337	0	0	0	0	4.63E-05	0	0	0	0.000187097	0	0.000619223	0.000267489	0	0	0	0	0	0	0	0	0.002466526	0.000133748	0.000559981	0	0	0.001226322	0	0	0	0	9.80E-05	0	0.007089685	5.40E-05	0	0	0	0	0	0.000707188	0.000146854	0	0.000117289	0.000343299	2.09E-05	0	0	0	0	0	3.61E-05	0	0	3.73E-05	0	0	0	0	0	0	0	0	0	0	0.000144886	0	0	0	0	0.000522317	0	0	0	0	0	0	0.000254577	0	0.000441789	0.000649645	0.000121558	0	0	0	0.000198788	0.003207372	7.58E-05	4.91E-05	0.000358781	0.000109676	0	0	0.000422582	0	0	4.69E-05	0	0	0	0	0	0	0	0	0
