Sample_ID	Country	Province	Winery	Grape_variety	Stage
SP19.2	Spain	Rioja	SP19	Tempranillo	Alcoholic
SP19.3	Spain	Rioja	SP19	Tempranillo	Alcoholic
SP19.4	Spain	Rioja	SP19	Tempranillo	Alcoholic
SP19.1	Spain	Rioja	SP19	Tempranillo	Post-Fermentative
SP21.1	Spain	Rioja	SP21	Tempranillo	Post-Fermentative
SP21.2	Spain	Rioja	SP21	Tempranillo	Post-Fermentative
SP21.3	Spain	Rioja	SP21	Tempranillo	Post-Fermentative
SP21.4	Spain	Rioja	SP21	Tempranillo	Post-Fermentative
SP21.5	Spain	Rioja	SP21	Tempranillo	Post-Fermentative
SP21.6	Spain	Rioja	SP21	Tempranillo	Post-Fermentative
SP21.7	Spain	Rioja	SP21	Tempranillo	Post-Fermentative
SP21.8	Spain	Rioja	SP21	Tempranillo	Post-Fermentative
SP21.9	Spain	Rioja	SP21	Tempranillo	Post-Fermentative
USA4.7	USA	California	USA4	Sauvignon Blanc	Alcoholic
USA4.8	USA	California	USA4	Sauvignon Blanc	Alcoholic
USA4.9	USA	California	USA4	Sauvignon Blanc	Alcoholic
USA4.10	USA	California	USA4	Sauvignon Blanc	Alcoholic
USA4.3	USA	California	USA4	Cabernet Sauvignon	Post-Fermentative
USA4.5	USA	California	USA4	Cabernet Sauvignon	Must
USA4.1	USA	California	USA4	Cabernet Sauvignon	Alcoholic
USA4.6	USA	California	USA4	Cabernet Sauvignon	Must
USA4.2	USA	California	USA4	Cabernet Sauvignon	Alcoholic
USA4.11	USA	California	USA4	Sauvignon Blanc	Alcoholic
USA4.12	USA	California	USA4	Sauvignon Blanc	Alcoholic
USA4.16	USA	California	USA4	Sauvignon Blanc	Must
USA4.17	USA	California	USA4	Sauvignon Blanc	Must
USA4.13	USA	California	USA4	Sauvignon Blanc	Alcoholic
USA4.4	USA	California	USA4	Cabernet Sauvignon	Post-Fermentative
USA4.14	USA	California	USA4	Sauvignon Blanc	Alcoholic
USA4.15	USA	California	USA4	Sauvignon Blanc	Alcoholic
SP17.1	Spain	Galicia	SP17	Treixadura	Must
SP17.2	Spain	Galicia	SP17	Treixadura	Must
SP16.4	Spain	Cataluña	SP16	Grenache	Must
SP16.5	Spain	Cataluña	SP16	Grenache	Must
SP16.6	Spain	Cataluña	SP16	Grenache	Must
SP16.7	Spain	Cataluña	SP16	Grenache	Must
