Kingdom	Phylum	Class	Order	Family	Genus
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea
Fungi	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis
Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Nakazawaea
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Stemphylium
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum
Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Trigonopsidaceae	Trigonopsis
